source_doc_id,date,sentence,found_term,accompanying_terms
1009,2014-05-21 15:40:00,"We should note too that, first, now that the contract has been signed, work will begin immediately, and second, this gives us the chance to start work on our next project with our Chinese partners, namely, planning a western supply route from the resource base in Western Siberia.",chinese,[]
1009,2014-05-21 15:40:00,"The final price will be calculated using this formula, and this satisfies Gazprom and our Chinese partners.",chinese,[]
1012,2014-05-23 14:30:00,"Regarding the deal which you just mentioned between Gazprom and its Chinese partners, it′s a major deal, and you're probably already familiar with the numbers.",chinese,[]
1012,2014-05-23 14:30:00,Gas will be supplied to the People′s Republic of China and to domestic consumers as well.,china,[]
1012,2014-05-23 14:30:00,"This is a multi-faceted project, because it gives us an opportunity, with a market as large as China and with supplies in the amount of 38 billion cubic metres of gas annually …",china,[]
1012,2014-05-23 14:30:00,"This is what we refer to as the Eastern Route from Eastern Siberia, but we agreed with our Chinese friends that the Western Route with the resource base in Western Siberia will be the focus of our next phase.",chinese,[]
1013,2014-05-23 16:45:00,"Just the other day, top-level talks between Russia and China ended.",china,[]
1013,2014-05-23 16:45:00,"Currently, in the country ranking, China is our top economic partner with a turnover of around $90 billion.",china,[]
1013,2014-05-23 16:45:00,We are also moving towards building a strategic Russian-Chinese energy alliance that would serve as the main framework for guaranteeing the energy security of the entire Asia-Pacific region.,chinese,['russian']
1013,2014-05-23 16:45:00,"Taking into account the scale of the Russian and Chinese economies, this could also be a significant factor of global growth.",chinese,[]
1013,2014-05-23 16:45:00,Let me stress that during my visit to China we agreed on natural gas supplies from Russia for an impressive $400 billion.,china,[]
1013,2014-05-23 16:45:00,"China, on its part, plans to invest $20-$22 billion in their infrastructure.",china,[]
1013,2014-05-23 16:45:00,The next stage would be our collaborative work on the western corridor of supplies with Chinese partners.,chinese,[]
1013,2014-05-23 16:45:00,"In the country ranking, China, along with Germany, is becoming a major consumer of Russia’s natural gas.",china,[]
1013,2014-05-23 16:45:00,"Once the western corridor project is realised, China will surely become our number one consumer.",china,[]
1013,2014-05-23 16:45:00,I know that one of our Chinese colleagues’ motives is environmental improvement in big cities.,chinese,[]
